朝阳,甜水园,"
          整租·马道口 1室1厅 南        ","
        42㎡
        ",5200
朝阳,常营,"
          整租·北京新天地三期 1室1厅 西        ","
        67㎡
        ",6060
朝阳,双桥,"
          整租·双桥六号井 2室1厅 南/北        ","
        59㎡
        ",3500
海淀,四季青,"
          整租·绿波漫板 1室1厅 北        ","
        47㎡
        ",6060
顺义,顺义城,"
          整租·石园东区 2室1厅 南/北        ","
        72㎡
        ",2600
丰台,新宫,"
          整租·阳光星苑 1室1厅 东        ","
        38㎡
        ",4030
亦庄开发区,亦庄开发区其它,"
          整租·泰河园七里 1室1厅 南/北        ","
        63㎡
        ",3100
东城,广渠门,"
          整租·安化南里 1室1厅 南        ","
        40㎡
        ",4800
顺义,顺义城,"
          整租·港馨家园西区 2室1厅 南/北        ","
        90㎡
        ",2900
朝阳,东坝,"
          整租·康静里 2室1厅 南/北        ","
        57㎡
        ",3800
朝阳,安贞,"
          整租·皇姑坟小区 1室1厅 南        ","
        40㎡
        ",3800
朝阳,石佛营,"
          整租·八里庄北里小区 1室1厅 西        ","
        45㎡
        ",5730
西城,新街口,"
          整租·新街口西里一区 1室1厅 东/西        ","
        44㎡
        ",5000
东城,崇文门,"
          整租·手帕胡同 1室1厅 西        ","
        27㎡
        ",5730
通州,武夷花园,"
          整租·玉桥中路2号院 2室1厅 南/北        ","
        54㎡
        ",2650
大兴,观音寺,"
          整租·观音寺北里 2室1厅 东/西        ","
        84㎡
        ",2800
西城,天宁寺,"
          整租·车站东街15号院 1室1厅 南        ","
        42㎡
        ",3800
丰台,看丹桥,"
          整租·南开地 2室1厅 南/北        ","
        44㎡
        ",3400
大兴,枣园,"
          整租·滨河东里 1室1厅 南        ","
        41㎡
        ",2800
顺义,顺义城,"
          整租·石园西区 2室1厅 南/北        ","
        62㎡
        ",2700
顺义,顺义城,"
          整租·石园西区 2室1厅 南        ","
        59㎡
        ",2700
海淀,西三旗,"
          整租·建材城西二里 1室1厅 东        ","
        46㎡
        ",5860
大兴,大兴其它,"
          整租·南海家园二里 1室1厅 东/北        ","
        50㎡
        ",2900
朝阳,常营,"
          整租·常楹公元自由派 1室1厅 北        ","
        38㎡
        ",5190
丰台,新宫,"
          整租·南庭新苑南区 1室1厅 东        ","
        52㎡
        ",3700
朝阳,双桥,"
          整租·中建玲珑山 1室1厅 东        ","
        48㎡
        ",5090
顺义,顺义城,"
          整租·供电局家属楼 2室1厅 南/北        ","
        60㎡
        ",2700
通州,潞苑,"
          整租·华龙小区 1室1厅 南        ","
        54㎡
        ",3290
朝阳,东坝,"
          整租·北京城建福润四季 2室1厅 南        ","
        75㎡
        ",5630
海淀,田村,"
          整租·西山国际城 1室1厅 东        ","
        35㎡
        ",5990
